imdb_id,title,views_computed,actual_views,error,abs_error,pct_error,abs_pct_error
tt11704040,Love Is Blind,1935413,137800000.0,-135864587.0,135864587.0,-98.59549129172714,98.59549129172714
tt11704040,Love Is Blind,1407573,137800000.0,-136392427.0,136392427.0,-98.97853918722787,98.97853918722787
tt11704040,Love Is Blind,2287306,137800000.0,-135512694.0,135512694.0,-98.34012626995646,98.34012626995646
tt11704040,Love Is Blind,2287306,137800000.0,-135512694.0,135512694.0,-98.34012626995646,98.34012626995646
tt11704040,Love Is Blind,1935413,137800000.0,-135864587.0,135864587.0,-98.59549129172714,98.59549129172714
tt11704040,Love Is Blind,2287306,137800000.0,-135512694.0,135512694.0,-98.34012626995646,98.34012626995646
tt11704040,Love Is Blind,1759466,137800000.0,-136040534.0,136040534.0,-98.72317416545718,98.72317416545718
tt11704040,Love Is Blind,2287306,137800000.0,-135512694.0,135512694.0,-98.34012626995646,98.34012626995646
tt26933824,Nobody Wants This,2767582,136800000.0,-134032418.0,134032418.0,-97.97691374269006,97.97691374269006
tt26933824,Nobody Wants This,2341800,136800000.0,-134458200.0,134458200.0,-98.28815789473684,98.28815789473684
tt26933824,Nobody Wants This,2767582,136800000.0,-134032418.0,134032418.0,-97.97691374269006,97.97691374269006
tt30876483,Exterritorial,765778,132300000.0,-131534222.0,131534222.0,-99.42118065003778,99.42118065003778
tt32550101,Straw,729046,131600000.0,-130870954.0,130870954.0,-99.44601367781155,99.44601367781155
tt31429675,Sirens,2603631,131500000.0,-128896369.0,128896369.0,-98.02005247148288,98.02005247148288
tt35590630,American Murder: Gabby Petito,1739323,129300000.0,-127560677.0,127560677.0,-98.65481593194122,98.65481593194122
tt5611024,Fool Me Once,2341822,128900000.0,-126558178.0,126558178.0,-98.1832257564003,98.1832257564003
tt13918776,The Night Agent,2379957,127500000.0,-125120043.0,125120043.0,-98.13336705882352,98.13336705882352
tt13918776,The Night Agent,1466740,127500000.0,-126033260.0,126033260.0,-98.8496156862745,98.8496156862745
tt13918776,The Night Agent,2812677,127500000.0,-124687323.0,124687323.0,-97.79397882352941,97.79397882352941
tt13918776,The Night Agent,2379957,127500000.0,-125120043.0,125120043.0,-98.13336705882352,98.13336705882352
